Time(s),d_Torque(Nm),a_Torque(Nm),Velocity(rad/s),Position(rad),Desired_Position(rad),Power(W)
0,0,0.0859375,-0.102844,-8.85672e-05,0,-0.0765381
0.00138916,0,0.191406,0.156972,-4.42836e-05,0.00913928,0.260193
0.00230424,0,15.5703,0.387919,0.000177134,0.0151565,52.3065
0.00329601,0,15.5586,1.95222,0.00150564,0.0216729,263.037
0.00436811,0,15.0039,3.27475,0.00447264,0.0287086,425.501
0.00544452,0,16.0312,3.65095,0.00894529,0.0357606,506.863
0.00637336,0,16.332,6.48816,0.0138608,0.0418342,917.656
0.00732547,0,14.8164,7.56441,0.0194848,0.0480466,970.59
0.00836721,0,18.2695,8.81928,0.0275444,0.0548261,1395.34
0.00931697,0,16.9961,9.57437,0.0342312,0.0609886,1409.22
0.0102957,0,14.2109,9.63662,0.0432208,0.0673186,1185.95
0.0112915,0,17.8594,12.2312,0.0535389,0.0737356,1891.7
0.012387,0,7.25,9.24058,0.0640784,0.0807646,580.17
0.0133656,0,0.394531,9.30193,0.0743522,0.0870148,31.7813
0.0143222,0,-6.11328,12.5424,0.0863088,0.0930959,-664.007
0.0153184,0,-13.5039,9.13774,0.0965383,0.099396,-1068.6
0.0162894,0,-14.3008,12.2979,0.108938,0.105503,-1523.03
0.0173435,0,-19.1289,8.39077,0.117484,0.112094,-1389.98
0.0183526,0,-18.9492,6.30954,0.125455,0.118361,-1035.4
0.019349,0,-18.6055,5.20803,0.131699,0.124507,-839.136
0.0203147,0,-17.5,4.38438,0.136128,0.130423,-664.453
0.0212929,0,-16.7422,2.38525,0.138829,0.13637,-345.831
0.0222933,0,-11.8203,1.25217,0.140246,0.142405,-128.177
0.0233378,0,2.25781,0.443851,0.140778,0.148652,8.67847
0.0243258,0,15,1.06452,0.141486,0.154507,138.281
0.025289,0,14.9297,2.08123,0.143169,0.160164,269.084
0.0262623,0,14.793,2.62792,0.145915,0.165828,336.656
0.0272653,0,14.1484,3.94324,0.150343,0.171604,483.147
0.0282974,0,15.8867,5.00054,0.156454,0.177485,687.969
0.0292512,0,13.6758,7.37857,0.162388,0.18286,873.861
0.0302591,0,12.3906,9.1233,0.170049,0.188476,978.956
0.0312629,0,7.87891,8.96814,0.178242,0.194001,611.908
0.0322879,0,5.28906,8.28702,0.186523,0.199572,379.573
0.0332405,0,3.78125,9.74668,0.195468,0.204681,319.161
0.0342309,0,-3.32812,8.92123,0.204325,0.209924,-257.124
0.0352457,0,-9.22266,7.99834,0.213536,0.21522,-638.813
0.036338,0,-12.4609,9.13323,0.223234,0.220832,-985.582
0.0372383,0,-14.7852,9.00512,0.230673,0.225388,-1153.01
0.0382346,0,-16.9922,5.57791,0.236475,0.230354,-820.802
0.0392512,0,-17,4.33928,0.241611,0.235337,-638.828
0.0403092,0,-16.4336,3.26032,0.245287,0.240431,-463.992
0.0412458,0,-16.0664,1.74203,0.246925,0.244861,-242.377
0.0422454,0,-7.40234,0.381604,0.247545,0.249505,-24.4624
0.0432445,0,4.13281,0.127201,0.247634,0.254057,4.55255
0.044242,0,12.7617,0.965286,0.248165,0.258513,106.68
0.0452385,0,13.75,1.62385,0.249671,0.262873,193.359
0.0462704,0,10.5938,2.78399,0.252638,0.267291,255.409
0.0472308,0,5.69141,4.6884,0.256624,0.271311,231.08
0.0482494,0,2.82812,4.55849,0.260919,0.275477,111.645
0.0492321,0,1.32031,5.46153,0.265569,0.279401,62.4467
0.0502545,0,0.875,5.34786,0.270041,0.283381,40.5234
0.0513166,0,0.710938,3.94414,0.274514,0.287405,24.283
0.0522494,0,0.628906,4.24455,0.278721,0.290843,23.1172
0.0532374,0,0.515625,4.64871,0.283061,0.294387,20.7579
0.0542655,0,0.585938,4.45114,0.287932,0.297967,22.5861
0.055249,0,0.675781,3.61666,0.291475,0.301286,21.1657
0.0562995,0,0.578125,4.59638,0.296302,0.304718,23.0121
0.0572407,0,0.503906,5.06279,0.300376,0.30769,22.0931
0.0582475,0,0.566406,4.41235,0.304583,0.310763,21.6429
0.0592564,0,0.6875,4.74433,0.309011,0.31373,28.2466
0.0602995,0,-0.859375,5.07542,0.313395,0.316678,-37.7722
0.0612852,0,-3.33594,3.70598,0.317115,0.319352,-107.063
0.0622539,0,-6.47656,4.33296,0.321056,0.321872,-243.023
0.0632405,0,-7.91016,2.79843,0.323979,0.324328,-191.698
0.0642366,0,-7.65234,2.62251,0.326547,0.326694,-173.792
0.0652538,0,-5.37891,1.74834,0.328319,0.328991,-81.44
0.0662731,0,-1.99609,1.22961,0.329514,0.331172,-21.2553
0.0672542,0,0.0195312,1.06903,0.330533,0.333156,0.180817
0.0682287,0,0.0195312,0.982426,0.331374,0.335013,0.166168
