Time(s),d_Torque(Nm),a_Torque(Nm),Velocity(rad/s),Position(rad),Desired_Position(rad),Power(W)
0,0,-0.0585938,0.0144342,0,0,-0.00732422
0.00133295,0,-0.0273438,0.136223,0,0.00876951,-0.0322571
0.00227138,0,9.99219,0.170504,4.42836e-05,0.0149405,14.7541
0.00327472,0,14.9414,1.36674,0.000929956,0.0215331,176.846
0.00420645,0,15.3633,1.89358,0.00256845,0.0276484,251.934
0.00521484,0,15.0977,4.3068,0.00615542,0.0342571,563.095
0.00621505,0,14.5312,5.59866,0.0105395,0.0407999,704.539
0.0072505,0,15.5586,6.82466,0.0167392,0.047558,919.537
0.00825729,0,17.1055,7.5608,0.0228061,0.0541117,1120.01
0.00925552,0,16.6406,9.08,0.0306885,0.0605904,1308.5
0.01028,0,11.0039,7.58246,0.0383939,0.0672172,722.561
0.0112014,0,8.36328,8.13276,0.0468521,0.0731559,589.023
0.0122484,0,2.66797,10.3556,0.057923,0.0798775,239.263
0.013254,0,-0.28125,9.78547,0.0677539,0.0863036,-23.8337
0.0142082,0,-4.09375,11.3272,0.0782049,0.0923727,-401.571
0.0152209,0,-9.22266,11.0818,0.0888329,0.0987811,-885.087
0.0162092,0,-12.1523,8.31048,0.0977339,0.105001,-874.589
0.0171971,0,-15.9961,9.28569,0.106945,0.111181,-1286.31
0.018189,0,-16.8516,6.26353,0.113853,0.117348,-914.066
0.0191855,0,-15.1523,6.81744,0.120319,0.123502,-894.58
0.0201956,0,-11.2539,5.28562,0.125278,0.129696,-515.13
0.0211848,0,-5.66016,3.24679,0.1286,0.135715,-159.148
0.0222311,0,-1.20703,3.26934,0.132054,0.142031,-34.1741
0.0231992,0,2.98438,2.57109,0.134755,0.147826,66.449
0.0241843,0,5.79688,3.9261,0.138121,0.153672,197.094
0.025193,0,7.28516,4.45565,0.141929,0.159603,281.105
0.0262221,0,7.64062,5.67895,0.146623,0.165594,375.764
0.0272211,0,7.48047,4.7732,0.151937,0.171351,309.212
0.0281826,0,6.55469,7.29828,0.15765,0.176835,414.277
0.0292313,0,4.32422,5.68075,0.164159,0.182749,212.731
0.0302365,0,2.375,5.96132,0.1712,0.188351,122.609
0.0312135,0,0.445312,8.09848,0.178817,0.193731,31.231
0.0321763,0,-1.01562,6.98163,0.185548,0.198968,-61.4056
0.0331797,0,-2.98047,6.77955,0.192855,0.204357,-174.986
0.0341671,0,-5.05859,7.09711,0.199808,0.209588,-310.906
0.03517,0,-6.15625,6.90224,0.206627,0.214828,-367.98
0.036164,0,-6.51562,6.21211,0.212606,0.219945,-350.52
0.0372098,0,-7.15625,5.30907,0.218628,0.225245,-329.02
0.038178,0,-4.80078,4.10562,0.222614,0.230074,-170.69
0.0391829,0,-3.30078,5.03212,0.227131,0.235005,-143.842
0.0402209,0,-2.27734,4.09209,0.231515,0.240009,-80.7034
0.0413256,0,-1,4.03706,0.235766,0.245235,-34.9609
0.0422138,0,1.16016,3.37579,0.238822,0.249359,33.9164
0.0433016,0,1.23438,4.05781,0.24294,0.254315,43.3767
0.044194,0,2.98047,3.36046,0.246173,0.258301,86.7363
0.0451951,0,1.69922,3.52465,0.250867,0.262686,51.866
0.0462036,0,2.01953,5.17736,0.255074,0.267007,90.5476
0.0472253,0,1.37891,4.98521,0.259723,0.271288,59.53
0.0482209,0,0.816406,5.38666,0.264727,0.275362,38.0841
0.049199,0,-0.359375,5.30637,0.269554,0.27927,-16.5144
0.0502109,0,-0.703125,4.54496,0.274027,0.283213,-27.6746
0.0511727,0,-1.78516,5.03031,0.27881,0.286866,-77.7659
0.0521672,0,-2.77344,4.75516,0.283415,0.290544,-114.209
0.0532096,0,-3.67578,3.71861,0.287976,0.294289,-118.372
0.0541861,0,-3.48438,3.22153,0.291696,0.297695,-97.2086
0.0551545,0,-3.33203,3.87919,0.295593,0.300972,-111.935
0.0561465,0,-2.94141,3.70147,0.299047,0.304225,-94.2859
0.0571471,0,-2.57422,3.59231,0.302324,0.307399,-80.0823
0.0581888,0,-2.12891,2.64867,0.305336,0.310587,-48.8318
0.0591905,0,-1.21875,2.85346,0.308037,0.31354,-30.1165
0.0601624,0,-0.558594,2.72806,0.310428,0.316298,-13.1968
0.0612218,0,-0.394531,2.98517,0.313351,0.319183,-10.1992
0.0622475,0,0.0703125,2.31037,0.315609,0.321855,1.4068
0.0636772,0,-0.488281,2.40419,0.319418,0.325379,-10.1662
0.0651932,0,-0.585938,2.6622,0.323049,0.328858,-13.5086
0.0662001,0,-0.0703125,2.69197,0.325573,0.33102,-1.63916
0.0671569,0,0.0546875,2.03342,0.327477,0.332964,0.963013
0.068154,0,-0.210938,2.19219,0.329957,0.334875,-4.00452
0.0692416,0,-1.07031,2.1958,0.332968,0.336824,-20.3527
0.0702265,0,-1.39062,2.06409,0.335138,0.338467,-24.8574
0.0712011,0,-1.90234,2.32481,0.337353,0.339978,-38.2995
0.0723347,0,-2.38281,2.08033,0.339655,0.341591,-42.9279
0.073179,0,-2.33594,1.51198,0.341161,0.342691,-30.5862
0.0743242,0,-2.54297,1.69151,0.342932,0.344045,-37.2505
0.0751801,0,-1.96094,1.09429,0.343995,0.344952,-18.5829
0.0761492,0,-1.81641,1.20074,0.345102,0.34587,-18.8878
0.0771556,0,-1.46484,0.946341,0.345988,0.346702,-12.0049
0.0781602,0,-0.984375,0.801097,0.346696,0.347408,-6.8291
0.0792313,0,-0.683594,0.585486,0.347272,0.348023,-3.46603
0.0802744,0,-0.417969,0.395136,0.347715,0.348486,-1.43024
0.0812415,0,-0.226562,0.435732,0.348113,0.348795,-0.854919
0.0823758,0,-0.140625,0.330182,0.348423,0.349009,-0.4021
0.0831889,0,-0.0234375,0.188546,0.348601,0.349065,-0.038269
0.084187,0,-0.09375,0.206589,0.348822,0.349021,-0.167725
0.0851563,0,-0.199219,0.065856,0.348955,0.34886,-0.113617
0.0861984,0,-0.371094,-0.0703666,0.349043,0.348557,0.226135
0.0873055,0,-0.636719,0.0153363,0.349132,0.348088,-0.0845642
0.0881996,0,-1.08594,0.0324769,0.349132,0.347598,-0.30542
0.0891661,0,-1.14844,-0.372582,0.348866,0.346958,3.70551
0.0903496,0,-1.25781,-0.237262,0.348556,0.346018,2.58441
0.0911419,0,-1.83594,-0.495273,0.348202,0.345292,7.87445
0.092147,0,-1.60156,-0.786663,0.347538,0.34426,10.9106
0.0931547,0,-1.49219,-0.716296,0.346696,0.343101,9.25623
0.094181,0,-1.44531,-0.977014,0.345634,0.341794,12.2287
0.0951934,0,-1.49219,-1.04377,0.344482,0.340379,13.488
0.0962063,0,-0.875,-1.28194,0.342888,0.33884,9.71387
0.0972041,0,-1.19531,-1.5643,0.341737,0.337203,16.1927
0.0982118,0,-1.19922,-1.86923,0.340142,0.335428,19.4124
0.0991621,0,-1.35547,-2.1552,0.338593,0.333644,25.2986
0.100175,0,-1.08203,-2.08754,0.336865,0.331625,19.5611
0.101199,0,-0.914062,-2.22377,0.334784,0.329458,17.6028
0.102199,0,-1.16406,-2.15881,0.333013,0.327227,21.7625
0.103195,0,-1.31641,-1.68609,0.331153,0.324888,19.2216
0.10417,0,-1.38281,-2.49802,0.328894,0.322488,29.9141
0.105162,0,-0.921875,-2.67664,0.326282,0.319932,21.3688
0.106268,0,-1.14062,-2.08033,0.324112,0.316953,20.5491
0.107157,0,-1.75,-3.01133,0.32172,0.314457,45.6367
0.108153,0,-1.50391,-2.90037,0.319108,0.311558,37.7739
0.109154,0,-1.57812,-2.37984,0.316584,0.308531,32.5242
0.110193,0,-1.21094,-3.45518,0.313262,0.305276,36.2335
0.111152,0,-1.64062,-3.48585,0.310517,0.302165,49.5264
0.112181,0,-1.19922,-2.95359,0.307284,0.29872,30.6738
0.113229,0,0.734375,-3.11688,0.30197,0.295092,-19.8224
0.115209,0,1.70312,-3.40827,0.297409,0.287932,-50.2688
0.116165,0,-2.72266,-3.4218,0.29453,0.284326,80.68
0.117229,0,-2.33203,-3.02757,0.291032,0.28021,61.1429
0.118211,0,-2.14844,-4.18501,0.286914,0.276307,77.8641
0.119162,0,-2.73438,-3.65726,0.283725,0.272442,86.6028
0.120202,0,-1.89453,-4.4349,0.279164,0.268109,72.7618
0.121175,0,-1.51562,-3.83318,0.275178,0.263965,50.3116
0.122208,0,-0.574219,-3.89182,0.270573,0.259469,19.353
0.123225,0,-0.507812,-4.3898,0.265835,0.254945,19.3048
0.124198,0,-0.429688,-5.60227,0.261185,0.250528,20.8466
0.12524,0,0.515625,-4.09389,0.256092,0.245708,-18.2805
0.126181,0,-0.0703125,-4.14171,0.252195,0.241273,2.52191
0.127183,0,0.0546875,-5.52198,0.247324,0.236466,-2.61517
0.128183,0,0.21875,-4.92927,0.242541,0.231584,-9.33789
0.129238,0,0.421875,-4.18772,0.237582,0.226344,-15.2996
0.130213,0,-0.0703125,-5.6591,0.232578,0.221424,3.44586
0.131194,0,-0.222656,-4.29688,0.228193,0.216394,8.28525
0.132154,0,-0.683594,-5.4886,0.223322,0.211402,32.4921
0.13321,0,-0.445312,-4.64781,0.218185,0.205832,17.9238
0.134147,0,-1.25,-4.11825,0.213801,0.200819,44.5801
0.135155,0,-0.777344,-4.51249,0.208399,0.195357,30.3771
0.136164,0,-0.875,-4.9392,0.202908,0.189822,37.4268
0.137176,0,-0.625,-6.48275,0.197328,0.1842,35.0879
0.13818,0,-0.597656,-5.76104,0.191881,0.178556,29.8174
0.139226,0,-0.320312,-5.24322,0.186035,0.17261,14.5442
0.140243,0,-0.347656,-6.9275,0.180146,0.166762,20.8567
0.141188,0,-0.335938,-6.22474,0.174433,0.16127,18.1091
0.142258,0,0.125,-6.77865,0.168411,0.154995,-7.33789
0.143167,0,-1.02734,-5.43176,0.163584,0.149612,48.3253
0.144266,0,0.121094,-5.67534,0.156897,0.143047,-5.95157
0.145148,0,-0.542969,-6.5441,0.15145,0.137734,30.7711
0.146204,0,0.214844,-5.25224,0.14463,0.131325,-9.77203
0.147218,0,0.0234375,-5.75563,0.139051,0.125121,-1.16821
0.148182,0,0.183594,-7.36414,0.132718,0.119179,-11.7084
0.149198,0,-0.0507812,-5.66993,0.127138,0.112876,2.49344
0.150198,0,0.257812,-5.93245,0.120717,0.106629,-13.2451
0.151151,0,-0.449219,-5.83051,0.115049,0.100637,22.682
0.152176,0,0.226562,-5.14669,0.108849,0.0941631,-10.098
0.153187,0,0.183594,-5.42455,0.102339,0.0877383,-8.6246
0.154174,0,0.550781,-6.83549,0.0952541,0.0814433,-32.6037
0.155139,0,0.101562,-5.50393,0.0900286,0.0752505,-4.84088
0.156157,0,0.0390625,-5.96763,0.0834303,0.0686986,-2.01874
0.15715,0,-0.125,-5.96763,0.0770978,0.0622803,6.45996
0.158148,0,0.03125,-5.67624,0.0706766,0.055808,-1.53613
0.15921,0,0.980469,-5.75383,0.0633698,0.0489045,-48.8549
0.160147,0,-0.0429688,-6.9248,0.0574801,0.0427888,2.57678
0.161194,0,0.59375,-5.41192,0.0509704,0.0359452,-27.8274
0.162243,0,0.609375,-5.71323,0.0436636,0.0290741,-30.1498
0.163204,0,0.214844,-5.68797,0.0376854,0.0227678,-10.5827
0.164204,0,0.316406,-7.10071,0.03029,0.0162006,-19.4565
0.165215,0,0.195312,-6.13814,0.0243117,0.00955294,-10.3821
0.166191,0,0.0351562,-5.71594,0.0183334,0.00312896,-1.74023
0.167202,0,0.046875,-6.19858,0.0115137,-0.00352256,-2.51624
0.16817,0,0.15625,-7.31813,0.00495976,-0.0098874,-9.90234
0.169164,0,0.390625,-7.80348,-0.0019042,-0.016426,-26.3977
0.170204,0,1.11719,-8.01277,-0.00938813,-0.0232562,-77.5223
0.171193,0,0.25,-6.44847,-0.0148793,-0.0297475,-13.9609
0.172167,0,0.269531,-6.97712,-0.021389,-0.0361246,-16.2856
0.173209,0,0.4375,-7.6014,-0.0282529,-0.0429405,-28.7998
0.174218,0,0.695312,-6.26894,-0.0351169,-0.0495152,-37.7479
0.175158,0,0.121094,-7.59057,-0.0410952,-0.0556322,-7.96002
0.176442,0,5.92578,-6.01274,-0.0530518,-0.0639537,-308.557
0.178166,0,4.45703,-6.49899,-0.0603586,-0.0750742,-250.847
0.179202,0,-0.722656,-6.44847,-0.0663369,-0.0817147,40.3558
0.180982,0,2.82422,-6.38532,-0.0769649,-0.0930546,-156.17
0.182181,0,0.0078125,-6.49719,-0.0852902,-0.100629,-0.439575
0.18317,0,-3.14844,-6.98434,-0.0897186,-0.106847,190.431
0.184203,0,-2.69531,-6.55763,-0.0959183,-0.113292,153.064
0.185203,0,-2.98828,-6.2924,-0.102118,-0.1195,162.838
0.186179,0,-1.21484,-6.48275,-0.109735,-0.125513,68.2021
0.187188,0,-0.417969,-7.68259,-0.116156,-0.131683,27.808
0.188702,0,3.70703,-8.45662,-0.12705,-0.140851,-271.482
0.189173,0,-0.507812,-6.3763,-0.129928,-0.143684,28.0408
0.190167,0,2.03906,-8.14539,-0.137058,-0.149619,-143.834
0.191164,0,2.38281,-7.32896,-0.143789,-0.15552,-151.234
0.192167,0,3.27734,-6.35194,-0.150033,-0.161399,-180.28
0.19321,0,4,-7.31091,-0.156985,-0.167449,-253.25
0.194149,0,3.04688,-6.90766,-0.162432,-0.172845,-182.265
0.195202,0,4.10156,-4.75426,-0.168588,-0.178829,-168.869
0.196571,0,4.27344,-5.52378,-0.175629,-0.186509,-204.424
0.197204,0,0.046875,-5.3226,-0.178773,-0.190014,-2.16064
0.198206,0,0.753906,-5.59866,-0.183954,-0.195508,-36.5527
0.199177,0,-0.222656,-4.70915,-0.188427,-0.200769,9.0802
0.200175,0,-0.871094,-4.55759,-0.193298,-0.206108,34.381
0.201215,0,-0.785156,-5.55987,-0.198789,-0.21159,37.804
0.202214,0,-1.15625,-4.41415,-0.203527,-0.216781,44.1995
0.203163,0,-0.996094,-5.73127,-0.208974,-0.221638,49.4389
0.204168,0,-0.339844,-4.61713,-0.213978,-0.226708,13.5884
0.205157,0,0.253906,-4.80297,-0.219647,-0.231615,-10.5609
0.206154,0,0.46875,-6.08581,-0.225182,-0.23648,-24.7046
