Time(s),d_Torque(Nm),a_Torque(Nm),Velocity(rad/s),Position(rad),Desired_Position(rad),Power(W)
0,0,-0.03125,0,0,0,-0
0.000757057,0,0.015625,-0.0099235,0,0.00166041,-0.00134277
0.00177546,0,1.4375,0.0126299,4.42836e-05,0.00389394,0.157227
0.0027366,0,3.79688,0.4646,0.000265702,0.00600174,15.2765
0.00374845,0,4.99609,0.749675,0.000841389,0.0082205,32.4356
0.00473465,0,5.28906,1.06181,0.00199276,0.0103827,48.6346
0.0056936,0,4.97656,2.01988,0.00371982,0.0124848,87.051
0.00671372,0,4.55859,2.76595,0.00571259,0.0147205,109.193
0.00764838,0,4.03125,2.81196,0.00792677,0.0167683,98.1672
0.00862073,0,2.63281,2.75061,0.0106724,0.0188981,62.7144
0.0097097,0,0.703125,3.03749,0.014215,0.0212825,18.4955
0.0106977,0,-0.375,2.69288,0.0174477,0.0234451,-8.74512
0.0117444,0,-1.60156,3.31716,0.0210347,0.0257351,-46.0074
0.0127021,0,-2.09375,3.38572,0.0238689,0.0278292,-61.3894
0.0136984,0,-2.73828,2.56568,0.026703,0.030007,-60.8412
0.0146482,0,-2.53516,2.21023,0.0288286,0.0320817,-48.5245
0.0156308,0,-2.48047,1.84577,0.0311314,0.0342271,-39.6487
0.0166398,0,-2.07422,1.73751,0.033257,0.0364287,-31.2105
0.0176867,0,-1.34766,1.71406,0.0351612,0.0387114,-20.0043
0.0186233,0,-0.453125,1.47499,0.0367111,0.0407524,-5.78796
0.0196824,0,0.00390625,1.51649,0.0383939,0.0430585,0.0513
0.0206488,0,0.640625,1.5607,0.0400324,0.0451609,8.65845
0.0216759,0,1.01953,1.37846,0.0416709,0.0473937,12.1707
0.0226991,0,1.47266,1.55889,0.0435308,0.0496162,19.8809
0.0237444,0,1.71875,1.88998,0.0455236,0.0518843,28.1311
0.0246441,0,1.87891,2.32932,0.0474278,0.0538349,37.9011
0.0256653,0,1.33594,2.67393,0.0497305,0.0560468,30.9353
0.0266161,0,1.21094,2.55665,0.0518561,0.0581039,26.8109
0.0276678,0,0.609375,2.43847,0.0544246,0.060377,12.8683
0.028644,0,0.148438,2.56748,0.0568602,0.0624848,3.30042
0.0296079,0,0.0820312,2.19219,0.0591629,0.0645635,1.55731
0.0306257,0,-0.273438,2.35638,0.0617756,0.0667559,-5.57983
0.0316562,0,-0.507812,2.03432,0.0642112,0.0689729,-8.94623
0.0325924,0,-0.628906,2.42855,0.0666468,0.0709846,-13.2267
0.0336189,0,-0.898438,2.56748,0.0690382,0.0731874,-19.9762
0.0346804,0,-0.929688,2.39337,0.0712523,0.0754621,-19.2692
0.0356609,0,-0.480469,2.50343,0.0734222,0.0775603,-10.4164
0.036663,0,-0.394531,2.52147,0.0754593,0.0797017,-8.61496
0.0376028,0,-0.234375,1.9829,0.0771863,0.081707,-4.02466
0.0386143,0,0.0625,2.2382,0.0791791,0.0838621,1.21143
0.0396079,0,0.210938,1.57152,0.0808619,0.0859759,2.87073
0.0406807,0,0.289062,1.64369,0.0829875,0.0882545,4.11462
0.0415649,0,1.18359,1.7312,0.0845374,0.0901293,17.7447
0.0425925,0,0.816406,2.17505,0.0867516,0.0923047,15.3778
0.0436099,0,1.00781,1.70323,0.0885672,0.0944549,14.8652
0.0445986,0,0.953125,2.23008,0.0907371,0.0965406,18.4072
0.0457031,0,0.503906,2.27068,0.0931727,0.0988662,9.90884
0.0466267,0,0.800781,2.50343,0.0952098,0.100807,17.3607
0.0476114,0,0.324219,2.43216,0.0975125,0.102873,6.82886
0.0485943,0,0.34375,2.08213,0.0996381,0.104931,6.19824
0.0495816,0,0,2.35367,0.101941,0.106994,0
0.0505757,0,-0.125,2.29323,0.104199,0.109067,-2.48242
0.051568,0,-0.046875,2.02079,0.106325,0.111133,-0.820312
0.0525836,0,-0.0976562,2.00274,0.108539,0.113242,-1.69373
0.0536119,0,-0.472656,2.31218,0.111152,0.115373,-9.4642
0.0545891,0,-0.148438,2.16152,0.112835,0.117393,-2.77856
0.0556072,0,-0.109375,2.32841,0.11496,0.119494,-2.20544
0.0566113,0,-0.167969,2.16964,0.117174,0.121561,-3.15598
0.0575739,0,-0.0585938,1.6455,0.118946,0.123538,-0.834961
0.0586061,0,0.0664062,2.09927,0.120894,0.125652,1.20724
0.0595592,0,0.414062,1.93238,0.122621,0.1276,6.92908
0.0605563,0,0.476562,1.52822,0.124393,0.129633,6.30701
0.0615502,0,0.5625,2.18588,0.126474,0.131655,10.6479
0.0626004,0,0.386719,1.82232,0.128555,0.133785,6.10291
0.0636069,0,0.378906,1.74563,0.130637,0.135821,5.728
0.0646506,0,0.246094,1.72398,0.132762,0.137927,3.6741
0.0655861,0,0.339844,1.75556,0.134711,0.139809,5.16669
0.0666162,0,-0.0898438,2.5332,0.137191,0.141877,-1.97095
0.0675787,0,0.0625,2.45471,0.139095,0.143803,1.32861
0.0685598,0,-0.0585938,1.86381,0.141043,0.145761,-0.94574
0.0695538,0,-0.0546875,2.37352,0.143169,0.147739,-1.12408
0.0705596,0,-0.152344,2.00635,0.145206,0.149735,-2.64697
0.0715764,0,-0.210938,2.09927,0.147332,0.151746,-3.83478
0.0725515,0,-0.121094,2.12543,0.149191,0.153669,-2.22888
0.0735509,0,-0.105469,2.14257,0.151229,0.155634,-1.95694
0.0745498,0,-0.0585938,2.31308,0.153266,0.157592,-1.17371
0.0755492,0,0.0195312,1.67617,0.154993,0.159545,0.283508
0.076585,0,0.0507812,1.74563,0.156985,0.161562,0.76767
0.0775652,0,0.0390625,2.00906,0.15889,0.163465,0.679626
0.0785935,0,0.0664062,1.70323,0.160838,0.165454,0.979492
0.0796356,0,0.160156,1.75826,0.162787,0.167463,2.43863
0.0806252,0,0.0234375,1.97568,0.164868,0.169364,0.401001
0.0815864,0,0.238281,1.87283,0.166639,0.171204,3.86462
0.0825933,0,0.359375,1.74293,0.168366,0.173125,5.42432
0.083627,0,0.273438,1.87464,0.170359,0.17509,4.43909
0.084594,0,0.207031,1.58686,0.172263,0.176922,2.84506
0.0855889,0,0.0546875,2.06138,0.174256,0.1788,0.976257
0.0865559,0,0.195312,1.93057,0.176116,0.180618,3.26538
0.087556,0,0.0820312,1.65362,0.17802,0.182491,1.17471
0.0885851,0,-0.0195312,1.63918,0.179969,0.184411,-0.277252
0.0896003,0,0.0273438,1.57964,0.182139,0.186298,0.374054
0.0905464,0,-0.0234375,2.10829,0.183866,0.18805,-0.427917
0.0915828,0,-0.046875,2.25805,0.185814,0.189961,-0.916626
0.092593,0,-0.046875,1.62204,0.187497,0.191816,-0.658447
0.0935995,0,-0.0390625,1.9405,0.189534,0.193656,-0.656433
0.0946075,0,0.0390625,1.45064,0.191172,0.195491,0.490723
0.0955608,0,0.0703125,2.06409,0.193032,0.19722,1.25684
0.0965904,0,0.0976562,1.76999,0.194759,0.199079,1.49689
0.0975956,0,0.101562,1.84577,0.196575,0.200886,1.62341
0.0985736,0,0.300781,1.83946,0.198302,0.202637,4.79135
0.0995592,0,0.21875,1.8566,0.200029,0.204393,3.51709
0.100551,0,0.144531,2.09476,0.201933,0.206153,2.62189
0.101578,0,-0.296875,2.13806,0.204457,0.207966,-5.49683
0.102569,0,0.0976562,1.56972,0.205565,0.209707,1.32751
0.10355,0,0.203125,1.91704,0.207159,0.211424,3.37219
0.10457,0,0.136719,2.07311,0.208974,0.2132,2.45453
0.105546,0,0.109375,1.90892,0.210746,0.21489,1.80811
0.10656,0,0.046875,1.95042,0.212561,0.216639,0.791748
0.107577,0,0.148438,1.51288,0.214156,0.218383,1.94476
0.108583,0,-0.0507812,1.92516,0.216148,0.2201,-0.846619
0.109569,0,0.0585938,2.194,0.217831,0.221774,1.11328
0.110566,0,0.0351562,1.79254,0.219514,0.223458,0.545746
0.111561,0,0.078125,1.61482,0.221152,0.22513,1.09253
0.11257,0,0.0898438,1.62385,0.222879,0.226817,1.26343
0.113611,0,-0.0273438,1.27742,0.224518,0.228548,-0.30249
0.11459,0,0.0820312,1.79345,0.226289,0.230165,1.27405
0.115573,0,0.0234375,1.96936,0.228016,0.231782,0.399719
0.116589,0,-0.0195312,1.86652,0.229699,0.233444,-0.315704
0.117598,0,0.15625,1.54536,0.231205,0.235085,2.09106
0.118559,0,0.0546875,1.58956,0.232799,0.236638,0.752808
0.11956,0,0.203125,1.54716,0.234349,0.238247,2.72156
0.12056,0,0.128906,1.33967,0.235943,0.239846,1.49551
0.121601,0,0.0429688,1.79435,0.237759,0.2415,0.667694
0.122575,0,0.113281,1.28013,0.239176,0.243037,1.25583
0.123558,0,0.101562,1.75917,0.240859,0.24458,1.54724
0.124558,0,0.0742188,1.35591,0.24232,0.24614,0.87149
0.125561,0,0.0898438,1.42447,0.243958,0.247696,1.10831
0.126557,0,0.152344,1.94591,0.245597,0.249229,2.56723
0.127553,0,0.109375,1.71225,0.247147,0.250754,1.62183
0.12855,0,0.0898438,1.57152,0.248653,0.252271,1.22272
0.129571,0,0.09375,1.31802,0.250158,0.253814,1.07007
0.130608,0,0,1.46687,0.251841,0.255369,0
0.131643,0,-0.015625,1.50025,0.253391,0.256911,-0.203003
0.132571,0,0.171875,1.87103,0.254808,0.258284,2.78491
0.133577,0,0.0195312,1.49574,0.256269,0.259763,0.252991
0.13462,0,0.0390625,1.64911,0.257819,0.261286,0.557861
0.135581,0,0.191406,1.24314,0.259148,0.262679,2.06061
